age/year,occupation,income,province,use,prod,prod2,prod3,prod4
36-40 ปี,ข้าราชการ/รัฐวิสาหกิจ,"30,001-40,000 บาท",กรุงเทพมหานคร,เจลล้างหน้า,เจลล้างหน้า,สินค้า OTOP,ซื้อ,2 เดือน
30-35 ปี,ข้าราชการ/รัฐวิสาหกิจ,"10,000-20,000 บาท",กระบี่,เจลล้างหน้า,ครีมบำรุงผิวหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",กระบี่,แชมพู,วิตามินบำรุงผม,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,ข้าราชการ/รัฐวิสาหกิจ,"10,000-20,000 บาท",กระบี่,ครีมบำรุงรอบดวงตา,แชมพู,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",กระบี่,แชมพู,แชมพู,ตัวแทนจำหน่าย(ขายตรง),ซื้อ,1 เดือน
41-45 ปี,ข้าราชการ/รัฐวิสาหกิจ,"30,001-40,000 บาท",กระบี่,เจลล้างหน้า,ครีมบำรุงผิวหน้า,ร้านค้าในอินเทอร์เน็ต,ซื้อ,2 เดือน
45 ปีขึ้นไป,ธุรกิจส่วนตัว,"10,000-20,000 บาท",พัทลุง,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
36-40 ปี,ลูกจ้าง,"30,001-40,000 บาท",กรุงเทพมหานคร,เจลล้างหน้า,โลชั่นบำรุงผิว,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,3 เดือน
36-40 ปี,ลูกจ้าง,"30,001-40,000 บาท",กรุงเทพมหานคร,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,3 เดือน
36-40 ปี,ข้าราชการ/รัฐวิสาหกิจ,"20,001-30,000 บาท",ประจวบคีรีขันธ์,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",ประจวบคีรีขันธ์,เจลล้างหน้า,แชมพู,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,3 เดือน
30-35 ปี,ข้าราชการ/รัฐวิสาหกิจ,"20,001-30,000 บาท",เพชรบุรี,เจลล้างหน้า,เจลล้างหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,ข้าราชการ/รัฐวิสาหกิจ,"10,000-20,000 บาท",ประจวบคีรีขันธ์,ครีมบำรุงผิวหน้า,แชมพู,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
36-40 ปี,ข้าราชการ/รัฐวิสาหกิจ,"10,000-20,000 บาท",ประจวบคีรีขันธ์,ครีมบำรุงผิวหน้า,แชมพู,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
30-35 ปี,ลูกจ้าง,"20,001-30,000 บาท",กรุงเทพมหานคร,แชมพู,แชมพู,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",อุตรดิตถ์​,ครีมบำรุงรอบดวงตา,ครีมกันแดด,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ข้าราชการ/รัฐวิสาหกิจ,"10,000-20,000 บาท",ราชบุรี,โลชั่นบำรุงผิว,ครีมบำรุงผิวหน้า,ร้านค้าในอินเทอร์เน็ต,ซื้อ,2 เดือน
30-35 ปี,อาชีพอิสระ,"10,000-20,000 บาท",นครปฐม,โลชั่นบำรุงผิว,วิตามินบำรุงผม,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
36-40 ปี,ธุรกิจส่วนตัว,"40,001-50,000 บาท",ชัยภูมิ,ครีมบำรุงผิวหน้า,สบู่ก้อน,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",พัทลุง,แชมพู,แชมพู,ตัวแทนจำหน่าย(ขายตรง),ซื้อ,1 เดือน
36-40 ปี,ธุรกิจส่วนตัว,"30,001-40,000 บาท",ภูเก็ต,เจลล้างมือ,ครีมบำรุงผิวหน้า,ร้านค้าในอินเทอร์เน็ต,ซื้อ,3 เดือน
36-40 ปี,อาชีพอิสระ,"10,000-20,000 บาท",นครศรีธรรมราช ,ครีมบำรุงรอบดวงตา,เจลล้างหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"40,001-50,000 บาท",ประจวบคีรีขันธ์, วิตามินบำรุงผม,เจลล้างหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
30-35 ปี,ลูกจ้าง,"30,001-40,000 บาท",ชุมพร,โลชั่นบำรุงผิว,วิตามินบำรุงผม,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"20,001-30,000 บาท",ชุมพร,เจลล้างมือ,เจลล้างมือ,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
36-40 ปี,ลูกจ้าง,"10,000-20,000 บาท",สงขลา,แชมพู,เจลล้างมือ,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",กรุงเทพมหานคร,เจลล้างมือ,เจลล้างมือ,สินค้า OTOP,ซื้อ,2 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"30,001-40,000 บาท",กรุงเทพมหานคร,ครีมบำรุงผิวหน้า,เจลล้างหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"20,001-30,000 บาท",นครปฐม,เจลล้างมือ,โลชั่นบำรุงผิว,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ไม่ซื้อ,3 เดือน
41-45 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",เพชรบุรี,โลชั่นบำรุงผิว,โลชั่นบำรุงผิว,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",สมุทรสาคร,แชมพู,แชมพู,ร้านค้าในอินเทอร์เน็ต,ซื้อ,1 เดือน
30-35 ปี,ข้าราชการ/รัฐวิสาหกิจ,"10,000-20,000 บาท",นครศรีธรรมราช,แชมพู,แชมพู,ตัวแทนจำหน่าย(ขายตรง),ไม่ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",ประจวบคีรีขันธ์,สบู่ก้อน,สบู่ก้อน,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",ประจวบคีรีขันธ์,แชมพู,แชมพู,สินค้า OTOP,ซื้อ,1 เดือน
30-35 ปี,ลูกจ้าง,"20,001-30,000 บาท",นครปฐม,โลชั่นบำรุงผิว,เจลล้างมือ,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
30-35 ปี,ลูกจ้าง,"20,001-30,000 บาท",สุราษฎร์ธานี,ครีมบำรุงผิวหน้า,ครีมบำรุงรอบดวงตา,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
45 ปีขึ้นไป,อาชีพอิสระ,"10,000-20,000 บาท",สตูล,เจลล้างหน้า,เจลล้างหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,อาชีพอิสระ,"10,000-20,000 บาท",ตรัง,แชมพู,วิตามินบำรุงผม,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,อาชีพอิสระ,"10,000-20,000 บาท",สตูล,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
36-40 ปี,อาชีพอิสระ,"10,000-20,000 บาท",สตูล,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",ยะลา,เจลล้างมือ,เจลล้างมือ,สินค้า OTOP,ซื้อ,1 เดือน
41-45 ปี,อาชีพอิสระ,"10,000-20,000 บาท",ประจวบคีรีขันธ์,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,สินค้า OTOP,ซื้อ,1 เดือน
41-45 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",สุราษฎร์ธานี,ครีมบำรุงผิวหน้า,ครีมกันแดด,ร้านค้าในอินเทอร์เน็ต,ซื้อ,2 เดือน
41-45 ปี,ลูกจ้าง,"10,000-20,000 บาท",สงขลา,สบู่ก้อน,แชมพู,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",ประจวบคีรีขันธ์,แชมพู,เจลล้างหน้า,ร้านค้าในอินเทอร์เน็ต,ซื้อ,1 เดือน
45 ปีขึ้นไป,ลูกจ้าง,"20,001-30,000 บาท",กรุงเทพมหานคร,ครีมบำรุงรอบดวงตา,ครีมบำรุงรอบดวงตา,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
41-45 ปี,ลูกจ้าง,"40,001-50,000 บาท",กรุงเทพมหานคร,แชมพู,แชมพู,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
30-35 ปี,อาชีพอิสระ,"20,001-30,000 บาท",กรุงเทพมหานคร,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,3 เดือน
41-45 ปี,ข้าราชการ/รัฐวิสาหกิจ,"20,001-30,000 บาท",นครปฐม,แชมพู,แชมพู,ร้านค้าในอินเทอร์เน็ต,ซื้อ,1 เดือน
41-45 ปี,ข้าราชการ/รัฐวิสาหกิจ,"30,001-40,000 บาท",กรุงเทพมหานคร,สบู่เหลวอาบน้ำ,เจลล้างมือ,สินค้า OTOP,ซื้อ,3 เดือน
41-45 ปี,ธุรกิจส่วนตัว,"20,001-30,000 บาท",สงขลา,เจลล้างหน้า,เจลล้างหน้า,สินค้า OTOP,ไม่ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"30,001-40,000 บาท",ประจวบคีรีขันธ์,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,ร้านค้าในอินเทอร์เน็ต,ซื้อ,3 เดือน
41-45 ปี,ข้าราชการ/รัฐวิสาหกิจ,"20,001-30,000 บาท",สงขลา,เจลล้างหน้า,เจลล้างหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,3 เดือน
41-45 ปี,ข้าราชการ/รัฐวิสาหกิจ,"40,001-50,000 บาท",นครศรีธรรมราช,แชมพู,แชมพู,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ลูกจ้าง,"40,001-50,000 บาท",นนทบุรี,แชมพู,แชมพู,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
36-40 ปี,ข้าราชการ/รัฐวิสาหกิจ,"30,001-40,000 บาท",กรุงเทพมหานคร,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
41-45 ปี,ลูกจ้าง,"30,001-40,000 บาท",กรุงเทพมหานคร,ครีมบำรุงผิวหน้า,ครีมบำรุงรอบดวงตา,ร้านค้าในอินเทอร์เน็ต,ซื้อ,2 เดือน
45 ปีขึ้นไป,ข้าราชการ/รัฐวิสาหกิจ,"40,001-50,000 บาท",ประจวบคีรีขันธ์,แชมพู,เจลล้างมือ,ร้านค้าในอินเทอร์เน็ต,ซื้อ,3 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",ประจวบคีรีขันธ์,โลชั่นบำรุงผิว,สบู่ก้อน,ร้านค้าในอินเทอร์เน็ต,ซื้อ,1 เดือน
45 ปีขึ้นไป,ข้าราชการ/รัฐวิสาหกิจ,"20,001-30,000 บาท",เชียงใหม่,แชมพู,แชมพู,สินค้า OTOP,ซื้อ,1 เดือน
45 ปีขึ้นไป,อาชีพอิสระ,"10,000-20,000 บาท",เชียงใหม่,แชมพู,ครีมบำรุงผิวหน้า,สินค้า OTOP,ซื้อ,1 เดือน
45 ปีขึ้นไป,ธุรกิจส่วนตัว,"20,001-30,000 บาท",เชียงใหม่,เจลล้างมือ,แชมพู,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
45 ปีขึ้นไป,ธุรกิจส่วนตัว,"10,000-20,000 บาท",เชียงใหม่,เจลล้างหน้า,โลชั่นบำรุงผิว,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
45 ปีขึ้นไป,ข้าราชการ/รัฐวิสาหกิจ,"30,001-40,000 บาท",เชียงใหม่,โลชั่นบำรุงผิว,โลชั่นบำรุงผิว,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
45 ปีขึ้นไป,ข้าราชการ/รัฐวิสาหกิจ,"10,000-20,000 บาท",เชียงใหม่,แชมพู,ครีมบำรุงรอบดวงตา,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ไม่ซื้อ,3 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",เพชรบุรี,ครีมบำรุงรอบดวงตา,ครีมบำรุงรอบดวงตา,ร้านค้าในอินเทอร์เน็ต,ไม่ซื้อ,3 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",กระบี่,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",กรุงเทพมหานคร,ครีมบำรุงผิวหน้า,วิตามินบำรุงผม,ตัวแทนจำหน่าย(ขายตรง),ไม่ซื้อ,1 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",เพชรบุรี,เจลล้างมือ,เจลล้างหน้า,ตัวแทนจำหน่าย(ขายตรง),ซื้อ,3 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",ประจวบคีรีขันธ์,เจลล้างหน้า,เจลล้างหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,2 เดือน
30-35 ปี,ข้าราชการ/รัฐวิสาหกิจ,"20,001-30,000 บาท",ยะลา,สบู่ก้อน,แชมพู,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",ประจวบคีรีขันธ์,แชมพู,เจลล้างมือ,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ข้าราชการ/รัฐวิสาหกิจ,"10,000-20,000 บาท",ชุมพร,เจลล้างหน้า,ครีมบำรุงรอบดวงตา,สินค้า OTOP,ซื้อ,1 เดือน
45 ปีขึ้นไป,ข้าราชการ/รัฐวิสาหกิจ,"30,001-40,000 บาท",ประจวบคีรีขันธ์,แชมพู,แชมพู,สินค้า OTOP,ซื้อ,2 เดือน
41-45 ปี,ลูกจ้าง,"20,001-30,000 บาท",เชียงใหม่,เจลล้างมือ,โลชั่นบำรุงผิว,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,2 เดือน
30-35 ปี,ข้าราชการ/รัฐวิสาหกิจ,"10,000-20,000 บาท",ปัตตานี,ครีมบำรุงผิวหน้า,เจลล้างมือ,ร้านค้าในอินเทอร์เน็ต,ซื้อ,1 เดือน
30-35 ปี,ลูกจ้าง,"30,001-40,000 บาท",ประจวบคีรีขันธ์,แชมพู,แชมพู,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
